nnz_grid,proposed_solve_time,l0bnb_solve_time,omp_solve_time,lasso_solve_time,enet_solve_time,proposed_f1_score,l0bnb_f1_score,omp_f1_score,lasso_f1_score,enet_f1_score,proposed_train_error,l0bnb_train_error,omp_train_error,lasso_train_error,enet_train_error,proposed_test_error,l0bnb_test_error,omp_test_error,lasso_test_error,enet_test_error
10,2.6275533948625838,9.820524136225382,0.001226875517103407,0.8786005973815918,0.13609838485717773,0.0,0.0,0.0,0.0,0.0,0.10018370969654591,0.10018370969654591,0.10368828069005877,0.10648988633764583,1.0,0.27336602764528617,0.27336602764528617,0.5251500012452379,0.35236862885157044,1.0
11,3.3556187947591147,8.6760270992914834,0.001295169194539388,0.6294348239898682,0.11047101020812988,0.0,0.0,0.0,0.0,0.0,0.09510910291472083,0.09510910291472083,0.08354642709466094,0.12041890497772555,0.8755689161971436,0.28808549675267545,0.28808549675267545,0.5328324947657676,0.39174700069149315,0.9386664921443649
12,2.549161036809285,6.933794379234314,0.0013706419203016493,0.8171100616455078,0.1661812663078308,0.0,0.0,0.0,0.0,0.0,0.09865078056404791,0.09865078056404791,0.06730661635368072,0.09990463288904834,0.784015770460404,0.21699296001567858,0.21699296001567858,0.5315815825850352,0.4271522564835899,0.8411733613211652
13,2.484576770237514,6.451720396677653,0.0015484227074517144,1.0128201643625896,0.1661812663078308,0.0,0.0,0.0,0.0,0.0,0.09016346096985932,0.09016346096985932,0.055757829480104076,0.08576793987071454,0.784015770460404,0.20132528612958257,0.20132528612958257,0.563033631720607,0.40259493631443155,0.8411733613211652
14,1.6564659595489502,4.89797838528951,0.0017230510711669922,0.6766325235366821,0.1694950580596924,0.0,0.0,0.0,0.0,0.0,0.09461512795537971,0.09461512795537971,0.046625456380973304,0.0946876773931741,0.5805032792446678,0.26137087373918233,0.26137087373918233,0.574417763742984,0.4176054540188598,0.8013387712000006
15,2.087313969930013,5.268716931343079,0.0017979145050048828,1.0550365447998047,0.10761173566182454,0.0,0.0,0.0,0.0,0.0,0.09598460188289462,0.09598460188289462,0.037851040621584904,0.07052236963002935,0.6246114772399686,0.2879058767286716,0.2879058767286716,0.5804298316870314,0.40110362302718794,0.8960904462979471
16,1.7286385893821716,7.461187481880188,0.001876407199435764,1.0096515814463298,0.23045814037322998,0.0,0.0,0.0,0.0,0.0,0.09756482703605403,0.09756482703605403,0.032058064630648246,0.0660786577747108,0.7431848054091473,0.2793981339124379,0.2793981339124379,0.5943748322769175,0.40143584209343025,0.7620424664826909
17,4.691095399856567,8.10520851612091,0.001958979500664605,1.2503662904103596,0.304853618144989,0.0,0.0,0.0,0.0,0.0,0.08476652662022248,0.08476652662022248,0.026155014100539064,0.05647445574524853,0.5576231709598467,0.272892412201605,0.272892412201605,0.6078986966663993,0.37729129350558843,0.9852486472994634
18,6.380326461791992,11.890417814254761,0.002060969670613607,1.3373621304829915,0.29550669193267822,0.0,0.0,0.0,0.0,0.0,0.06220202762364522,0.06220202762364522,0.02009291765282755,0.04135887631688412,0.5068474351273256,0.283454588785925,0.283454588785925,0.6162607414798045,0.41306278025837273,1.0
19,6.8349393010139465,57.20721077919006,0.0021559662289089626,1.0483699440956116,0.3702743848164876,0.0,0.0,0.0,0.0,0.0,0.04748153355896852,0.04748153355896852,0.01639881131200329,0.06009858274087517,0.4916687953698675,0.2832163412205399,0.2832163412205399,0.6210312888372366,0.4040485828030226,0.7997295005470105
