epsilon,acceleration_mean,acceleration_std
1e-01,3.5640312688585300,0.624561375222619
1e-02,4.92244448260923,0.8888005849733460
1e-03,5.56333466117305,0.989320949450641
1e-04,5.384071846650290,0.862254621776373
1e-05,5.75434483476545,0.860064137048877
1e-06,5.15709132546868,0.637111989471773
1e-07,4.805779689101020,0.888624533283529
1e-8,4.610077480160671,0.5982748673471381
1e-9,4.6953243695755205,0.6834572245630537
1e-10,4.5604399606144825,0.7364227739804066
1e-11,4.5413284210972573,1.4114521481157412
1e-12,4.6491818200079784,0.8758460328079025
